Order,No.,Fur Density [furs/cm^2],Fur Arrangement,Number of Drops,Needle,Fur Sample,Fur Type,Fur Orientation,Replication,Camera Settings,Lighting,Names,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Tauss,Taumaxspread,Date,Filename,Density of Water (kg/m^3),Viscosity of Water,Surface Tension of Water (N/m),Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Final Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Initial Spread,Do (m),Aspect Ratio,Droplet Velocity [m/s],Droplet Diameter [mm],Height [level],Modified Aspect Ratio,Weber #
56,r56,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.4,2.302631579,2.302631579,6.578947368,6.776315789,0,0,21.62460477,108,0.8088886804,3.388157895,0.8552631579,0,6.407834101,10.97004608,12.54608295,12.54608295,1.686972578,03/14/2023,r5_E1_3_11,997.77,0.001,0.0728,"E, W",E,W,NR,350,483,3.190789474,0.002783210349,0.5798319328,0.5868999422,2.783210349,2,0.1735406022,13.13933019
57,r57,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31.4,2.261146497,2.261146497,6.751592357,6.910828025,0,0,19.93125709,112,0.10124454,3.152866242,0.923566879,0,9.072580645,13.5656682,16.1578341,16.1578341,1.715957695,03/14/2023,r5_E1_3_12,997.77,0.001,0.0728,"E, W",E,W,NR,350,483,3.598726115,0.002669943213,0.5798319328,0.5497811521,2.669943213,2,0.180902724,11.06065334
58,r58,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31,2.838709677,2.838709677,5,5.225806452,0,0,20.09011375,102,0.03600309488,2,1,0,9.239631336,11.03686636,14.63133641,14.63133641,1.471698705,03/14/2023,r5_E1_4_10,997.77,0.001,0.0728,"E, W",E,W,NR,350,650,3,0.002677017802,0.65,0.5138822129,2.677017802,2,0.2428075,9.688967363
59,r59,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31,2.838709677,2.838709677,5.225806452,5.387096774,0,0,19.67828998,106,0.03128629108,2.193548387,1,0,9.533410138,15.12096774,19.26843318,19.26843318,1.456303499,03/14/2023,r5_E1_4_11,997.77,0.001,0.0728,"E, W",E,W,NR,350,650,3.032258065,0.002688380872,0.65,0.5106650179,2.688380872,2,0.2417812174,9.608643402
60,r60,100,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31.4,2.834394904,2.834394904,5.191082803,5.350318471,0,0,18.92926532,105,0.05583847013,2.356687898,1.114649682,0,6.14516129,7.338709677,9.983870968,9.983870968,1.407617403,03/14/2023,r5_E1_4_12,997.77,0.001,0.0728,"E, W",E,W,NR,350,650,2.834394904,0.002645472472,0.65,0.4857147511,2.645472472,2,0.2457028024,8.553914317
61,r61,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.4,4.078947368,4.638157895,4.440789474,4.736842105,0.09868421053,0,19.32595874,164,0.04936352722,2.105263158,0.03289473684,0.003246191136,30.81797235,29.43548387,35.08064516,,4.968802563,03/14/2023,r5_E1_5_10,997.77,0.001,0.0728,"E, W",E,W,i,350,1078,2.335526316,0.002642636789,0.7549019608,0.4986357133,2.642636789,2,0.4079259035,9.005406053
62,r62,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30,4.166666667,4.166666667,4.4,4.7,0,0,22.41208423,101,0.02267645988,1.733333333,1.066666667,0,2.246543779,23.21428571,2.476958525,,1.551688157,03/14/2023,r5_E1_5_11,997.77,0.001,0.0728,"E, W",E,W,i,350,1078,2.666666667,0.002776416027,0.7549019608,0.5874725275,2.776416027,2,0.3882703419,13.1328423
63,r63,49.03922353,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_5_1,horizontal,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.4,4.25170068,4.931972789,4.319727891,4.693877551,0,0,17.93140766,103,0.4382661768,1.462585034,0,0,23.82488479,20.41474654,2.995391705,,1.937720059,03/14/2023,r5_E1_5_12,997.77,0.001,0.0728,"E, W",E,W,i,350,1078,2.857142857,0.002577479711,0.7549019608,0.5639424965,2.577479711,2,0.4182380158,11.23476423
109,r109,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,28.5,2.456140351,2.877192982,6.105263158,6.245614035,0.1052631579,0,27.33363773,82,0.005845757726,2.526315789,0.0350877193,0.1052631579,2.442396313,15.71428571,4.65437788,,2.285435479,03/21/2023,r5_E1_3_19,997.77,0.001,0.0728,"E, W",E,W,NR,350,483,3.578947368,0.00287482304,0.5798319328,0.7978342378,2.87482304,3,0.1680103413,25.08046119
110,r110,144.1152692,parallel,2,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,horizontal,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,28.8,2.430555556,2.847222222,5.625,5.694444444,0,0,26.46163685,77,0.06620152763,2.152777778,0.03472222222,0,3.83640553,9.781105991,4.18202765,,2.125125009,03/21/2023,r5_E1_3_20,997.77,0.001,0.0728,"E, W",E,W,NR,350,483,3.472222222,0.002892891904,0.5798319328,0.832983909,2.892891904,3,0.1669609567,27.51088065
