No.,Date,Filename,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Needle,Fur Sample,Fur Orientation,Replication,Camera Settings,Lighting,Names,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Taumaxspread,Initial Impact Classification,Final Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Aspect Ratio,Modified Aspect Ratio,Density of Water (kg/m^3),Surface Tension of Water (N/m),Do (m),Weber #
r164,01/11/2024,r5_E1_3_29,4,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Will Stallions,30,3.133333333,3.5,4.3,6.466666667,1.486363636,2.602763008,0,0,18.46428499,32,0.4322139303,1.2,0.03333333333,0.3333333333,4.925115207,15.50115207,5.961981567,1.71321434,"E, D",JLRS,350,483,0.5798319328,185.5720243,1000,0.072,0.002602763008,79.86422339
r165,01/11/2024,r5_E1_3_30,4,144.1152692,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_3_2,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Will Stallions,29.1,3.23024055,3.23024055,4.536082474,5.979381443,1.53521736,2.719777514,0,0,21.06826413,25,0.3243698628,1.821305842,0.03436426117,0.4810996564,2.384792627,18.90552995,5.979262673,2.257857273,"E, D",JLRS,350,483,0.5798319328,177.5880555,1000,0.072,0.002719777514,89.03087215
r4,01/26/2023,r5_E1_4_1,1,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.2,2.913907285,2.913907285,5.562913907,5.860927152,0.1667274081,2.769926012,0.06622516556,0,22.25528316,281,0.3980852455,1.158940397,0.8609271523,,,,,,"T, W",JID,350,650,0.65,234.6633076,1000,0.072,0.002769926012,1.069423369
r5,02/01/2023,r5_E1_4_2,1,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.3,2.871287129,2.871287129,5.676567657,5.742574257,0.2881816662,2.735755252,0,0,21.44175568,192,0.07555760802,2.04620462,1.056105611,0,0.5391705069,2.612903226,1.147465438,2.282344554,"E, W",NR,350,650,0.65,237.5943533,1000,0.072,0.002735755252,3.155567258
r6,02/01/2023,r5_E1_4_3,1,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,29.4,2.959183673,2.959183673,5.816326531,5.850340136,0.2866097787,2.799568132,0,0,22.97744534,166,0.04856823504,2.040816327,1.12244898,0,0.6820276498,4.442396313,1.124423963,0.8872623557,"E, W",NR,350,650,0.65,232.178668,1000,0.072,0.002799568132,3.194041485
r58,03/14/2023,r5_E1_4_10,2,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31,2.838709677,2.838709677,5,5.225806452,0.5138822129,2.677017802,0,0,20.09011375,102,0.03600309488,2,1,0,9.239631336,11.03686636,14.63133641,1.471698705,"E, W",NR,350,650,0.65,242.8075,1000,0.072,0.002677017802,9.81851785
r59,03/14/2023,r5_E1_4_11,2,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31,2.838709677,2.838709677,5.225806452,5.387096774,0.5106650179,2.688380872,0,0,19.67828998,106,0.03128629108,2.193548387,1,0,9.533410138,15.12096774,19.26843318,1.456303499,"E, W",NR,350,650,0.65,241.7812174,1000,0.072,0.002688380872,9.737119883
r60,03/14/2023,r5_E1_4_12,2,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,31.4,2.834394904,2.834394904,5.191082803,5.350318471,0.4857147511,2.645472472,0,0,18.92926532,105,0.05583847013,2.356687898,1.114649682,0,6.14516129,7.338709677,9.983870968,1.407617403,"E, W",NR,350,650,0.65,245.7028024,1000,0.072,0.002645472472,8.668288092
r112,03/21/2023,r5_E1_4_19,3,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.3,2.838283828,3.300330033,4.290429043,4.620462046,0.7467430954,2.741351358,0,0,21.57360512,72,0.01991310228,1.650165017,0,0,3.214285714,10.47235023,3.14516129,1.543597903,"E, W",DLRS,350,650,0.65,237.1093359,1000,0.072,0.002741351358,21.23120469
r113,03/21/2023,r5_E1_4_20,3,100,parallel,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_4_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Agustin Soto,30.9,2.783171521,3.203883495,4.433656958,4.724919094,0.6694855532,2.701526831,0,0,20.64697698,69,0.06254386344,1.682847896,0.03236245955,0,3.369815668,5.846774194,2.332949309,1.156481542,"E, W",DLRS,350,650,0.65,240.6046805,1000,0.072,0.002701526831,16.81741373
