No.,Date,Filename,Height [level],Fur Density [furs/cm^2],Fur Arrangement,Needle,Fur Sample,Fur Orientation,Replication,Camera Settings,Lighting,Names,Resolution [pixels/mm],Steady State Penetration Depth [mm],Maximum Penetration Depth [mm],Droplet Final Spread [mm],Droplet Maximum Spread [mm],Droplet Velocity [m/s],Droplet Diameter [mm],Steady State Dome Height [mm],Minimum Dome Height [mm],Volume Below Fur at Max. Spread [mm^3],Video Index of Max. Spread,Delta_pos,Delta_spread,Delta_Pen,Delta_DomeHeight,Tausp,Tausx,Taush,Taumaxspread,Initial Impact Classification,Initial Impact Dome,Initial Impact Shape,Final Impact Classification,Fur Strand Square Length Dimension (um) [l],Inter-fiber spacing (um) [d],Aspect Ratio,Modified Aspect Ratio,Density of Water (kg/m^3),Surface Tension of Water (N/m),Do (m),Weber #
r11,02/25/2024,r5_E1_6_2,1,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_2,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,26.8,6.679104478,6.679104478,6.343283582,6.567164179,0.6268656716,2.504148185,0.2985074627,0.07462686567,16.44404639,54,1.81E-02,0,0,0.787037037,3.75,17.54032258,17.54032258,1.794797352,"D, W",D,W,JLRD,350,761,0.6849684968,0.3038957536,1000,0.072,0.002504148185,13.66710415
r12,02/25/2024,r5_E1_6_3,1,162.0324049,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_6_2,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.8,1.366906475,1.366906475,6.223021583,6.54676259,0.5717843308,2.499442776,0.9712230216,0.8273381295,-15.84969076,64,0.07608458688,1.618705036,0.4316546763,,24.95391705,38.22580645,46.24423963,2.440157031,"D, W",D,W,JLRD,350,761,0.6849684968,0.3044678628,1000,0.072,0.002499442776,11.34946007
r13,02/25/2024,r5_E1_7_1,1,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.6,1.811594203,1.811594203,4.637681159,4.891304348,0.5009846993,2.621023185,0,0,18.85563688,66,0.09578938896,1.376811594,0.5797101449,0,6.520737327,10.43778802,12.78801843,1.401699846,"E, W",E,W,JLRS,350,1079,0.755073478,0.4116712916,1000,0.072,0.002621023185,9.136656353
r14,02/25/2024,r5_E1_7_2,1,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,25.2,2.142857143,2.142857143,5.753968254,6.071428571,0.5804367201,2.909075185,0,0,25.78062581,62,0.007289184176,2.817460317,0.1587301587,0,7.465437788,8.903225806,9.751152074,1.662718342,"E, W",E,W,DLRS,350,1079,0.755073478,0.3709082548,1000,0.072,0.002909075185,13.61232182
r15,02/25/2024,r5_E1_7_3,1,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,27.2,1.985294118,1.985294118,5.036764706,5.404411765,0.5420866935,2.68313872,0,0,20.22823534,59,0.06703807428,1.544117647,0.6985294118,0,11.7281106,12.55760369,14.63133641,1.683621156,"E, W",E,W,JLRS,350,1079,0.755073478,0.4021409672,1000,0.072,0.00268313872,10.95085741
r67,3/19/2024,r5_E1_7_10,2,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,24,1.958333333,2.291666667,4.458333333,5,0.6662381004,2.619352882,0,0,18.81961137,51,2.34E-04,1.541666667,0.04166666667,,2.540322581,9.383640553,3.888248848,0.7630565225,"E, W",E,W,DLRS,350,1079,0.755073478,0.4119338053,1000,0.072,0.002619352882,16.14806337
r68,3/19/2024,r5_E1_7_11,2,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,24,1.958333333,2.25,4.333333333,4.75,0.6480541685,2.58051055,0,0,17.99473828,61,0.03659134456,1.541666667,0.04166666667,,7.638248848,11.09447005,3.352534562,0.6696909065,"E, W",E,W,DLRS,350,1079,0.755073478,0.4181343107,1000,0.072,0.00258051055,15.05205371
r69,3/19/2024,r5_E1_7_12,2,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,3,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,23.7,1.983122363,2.405063291,4.514767932,4.978902954,0.7025857406,2.618392927,0,0,18.79892761,39,0.1008970152,1.603375527,0.04219409283,,10.47235023,14.82718894,4.251152074,0.8049812538,"E, W",E,W,DLRS,350,1079,0.755073478,0.4120848284,1000,0.072,0.002618392927,17.95151
r121,03/22/2024,r5_E1_7_19,3,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,1,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,22,2.409090909,2.454545455,3.863636364,4.863636364,0.8711538462,2.555211958,0,0,16.96297285,37,0.003430918507,1.181818182,0.5,0,12.64400922,18.46198157,19.15322581,0.9091523369,"E, W",E,W,NRND,350,1079,0.755073478,0.4222741665,1000,0.072,0.002555211958,26.93296406
r122,03/22/2024,r5_E1_7_20,3,97.94122645,staggered,Pink JG20-1.0HP (ID: 0.024''; OD: 0.036'') - 1.5'',E1_7_1,standard,2,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/h1_E2_3_1/camerasettingshydrophoc4-7.PNG?csf=1&web=1&e=wCtXFs,https://liveutk-my.sharepoint.com/:i:/r/personal/grible_vols_utk_edu/Documents/Fur%20Wetting/Experiments/r1_E1_3_1/20220207_145306000_iOS.jpg?csf=1&web=1&e=mZ21tB,Zack Morgan,23.4,3.461538462,3.461538462,3.931623932,4.358974359,0.7985938792,2.425325517,0,0,14.50413463,42,0.104864748,1.367521368,1.196581197,0,13.02995392,19.25115207,19.25115207,0.7683033495,"E, W",E,W,NRND,350,1079,0.755073478,0.4448887345,1000,0.072,0.002425325517,21.48273118
